base_family_key,word_key,member_role,word_sum,morphology_parts,morphology_joins,transformation_notes,dictation_sentence,dictation_target_token_index,audio_text,assignment_eligible,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at
act_base_family,act_en_gb,base,act,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}}]",[],This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell act.,2,Please spell act.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
act_base_family,action_en_gb,authentic_target,act + ion → action,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ion"",""surfaceText"":""ion"",""gloss"":"""",""displayRange"":{""start"":3,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell action.,2,Please spell action.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
act_base_family,activity_en_gb,authentic_target,act + ivity → activity,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ivity"",""surfaceText"":""ivity"",""gloss"":"""",""displayRange"":{""start"":3,""end"":8},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell activity.,2,Please spell activity.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
act_base_family,actor_en_gb,transfer,act + or → actor,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""or"",""surfaceText"":""or"",""gloss"":"""",""displayRange"":{""start"":3,""end"":5},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell actor.,2,Please spell actor.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
act_base_family,actual_en_gb,transfer,act + ual → actual,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ual"",""surfaceText"":""ual"",""gloss"":"""",""displayRange"":{""start"":3,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell actual.,2,Please spell actual.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
act_base_family,interact_en_gb,transfer,inter + act → interact,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""inter"",""surfaceText"":""inter"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""act"",""surfaceText"":""act"",""gloss"":"""",""displayRange"":{""start"":5,""end"":8},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}}]",This member follows the Latin-derived act route. Teach the visible link carefully; it is not always a simple modern suffix rule.,Please spell interact.,2,Please spell interact.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
angle_base_family,angle_en_gb,base,angle,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""angle"",""surfaceText"":""angle"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell angle.,2,Please spell angle.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
angle_base_family,triangle_en_gb,authentic_target,tri + angle → triangle,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""tri"",""surfaceText"":""tri"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""angle"",""surfaceText"":""angle"",""gloss"":"""",""displayRange"":{""start"":3,""end"":8},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",The spelling of the base is kept in the longer word.,Please spell triangle.,2,Please spell triangle.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
baby_base_family,babies_en_gb,authentic_target,baby + es → babies,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""baby"",""surfaceText"":""babi"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""es"",""surfaceText"":""es"",""gloss"":"""",""displayRange"":{""start"":4,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The final y changes to i before the ending is added.,Please spell babies.,2,Please spell babies.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
baby_base_family,baby_en_gb,base,baby,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""baby"",""surfaceText"":""baby"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell baby.,2,Please spell baby.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,"AI-assisted draft derived from the supplied approved canonical morphology metadata and approved D4 sources where applicable; requires linguistic, pedagogical, safeguarding, and copyright review before import.",low,approved_for_first_exposure,Katie,2026-07-17T22:51:44+0100
